"RA","EVADIDO","RESID_ARARAS","BOLSISTA","GRADE_CORRENTE","NOTA_MEDIA","PONTUACAO_PS","TOT_MAT_CURSADAS","TOT_APROVACOES","TOT_REPROVACOES","TOT_REPROV_FREQ","TOT_REPROV_NOTA_FREQ","NCS005","NCS012","SIF001","SIF002","SIF004","SIF005","SIF008","SIF009","SIF010","SIF011","SIF012","SIF015","SIF016","SIF017","SIF019","SIF021","SIF022","SIF026","SIF027","SIF028","SIF031","SIF032","SIF033","SIF035","SIF037","SIF040","SIF041","SIF042","SIF043","SIF047","SIF049","SIF056","SIF057","SIF058","SIF060","SIF062","SIF063","SIF064","SIF065","SIF068","SIF071","SIF029","SIF030","SIF038","SIF039","SIF070","NCS037","NCS040","SIF006","SIF072","SIF073"
"16d76c6ebf3ff32c84e6935aae243911",1,0,1,2017,7.8,49,36,36,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"1879ab7065a166dfcf74ad397a4d186d",1,0,1,2015,5.2,40,52,34,18,18,0,0,1,1,1,1,1,1,2,2,2,0,2,1,5,1,2,1,2,1,2,5,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,0,0
"18c54febb81d680e424d9f0991483890",0,1,1,2015,6.8,47,49,48,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"190d1f3c5a9b6ea4c45b408f27cf600a",0,1,1,2019,9.2,73,10,10,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
"1967e2e415dfe90c60f22b83da5be2d2",0,0,1,2019,6.7,41,10,9,1,1,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
"19b5c51a73f6aa7f829869e285c68682",0,0,1,2015,7.5,47,48,48,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"19e0530494a97df72021feb274708dad",0,0,1,2018,4.8,45,22,14,8,8,0,1,0,2,1,2,2,1,1,1,0,0,1,1,0,2,2,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0
"1a0580493a03026eda2dc9ebc02f56c0",0,1,1,2015,6,37,54,48,6,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,5,1,1,1,5,1,1,1,0,0
"1a4d7d989ba4a999e88e5835e50cabcf",0,1,1,2017,7.2,51,36,36,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0
"1a771de85cc3f104ece0120697e3e0d1",1,1,0,2016,4,47,29,13,16,13,3,0,0,0,0,0,0,4,2,1,2,2,0,2,4,1,2,2,2,2,2,1,2,0,1,2,0,0,4,1,0,0,2,1,1,0,0,1,1,1,0,0,2,1,1,0,0,0,0,1,0,0
"1a86313f6077d64f42e128d11163e2fe",0,1,1,2018,6.2,58,22,21,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"1a9f361848b33d444800b0d236c5fb94",1,1,1,2017,5.4,47,18,14,4,4,0,0,2,1,1,1,1,1,1,0,0,0,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"1abef5836a32f0ab80fb789939ce7085",0,0,1,2019,7.2,47,10,10,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
