"","RA","EVADIDO","RESID_ARARAS","BOLSISTA","GRADE_CORRENTE","NOTA_MEDIA","PONTUACAO_PS","TOT_REPROVACOES","NCE047","NCS005","NCS012","SIF001","SIF002","SIF004","SIF005","SIF008","SIF009","SIF010","SIF011","SIF012","SIF015","SIF016","SIF017","SIF019","SIF021","SIF022","SIF026","SIF027","SIF028","SIF031","SIF032","SIF033","SIF034","SIF035","SIF037","SIF040","SIF041","SIF042","SIF043","SIF047","SIF049","SIF055","SIF056","SIF057","SIF058","SIF060","SIF062","SIF063","SIF064","SIF065","SIF066","SIF068","SIF071","SIF003","SIF018","SIF013","SIF014","SIF020","SIF023","SIF025","SIF029","SIF038","SIF039","SIF046","SIF048","SIF070","SIF072","SIF075","SIF082","SIF086","SIF087","NCI001","SIF030","NCS037","NCS040","SIF006","SIF054","SIF073"
"53","1f0960e86be8032d2c131693af647a95","0","1","1","2018","8.7","48",22,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","1f2a758e76082768d4449c5d74b9cbae","1","0","1","2015","5.61","48",52,0,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,5,5,1,2,0,1,1,1,1,2,1,1,1,0,1,1,1,1,2,1,1,1,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
"55","1f55c50fa5b8fd1fb0115931d5a913aa","0","0","0","2018","8.46","77",22,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","1f6ccfc255522384bcd74efd6ce5a2ea","0","0","1","2016","7.08","41",48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
"57","1f8fe994010d886e9b19ec4212c2a3cd","0","0","1","2018","7.21","61",22,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","1fc611f9ea12f43468145d45d8d5ddf2","0","1","1","2018","6.92","60",22,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","200eedddb8a91f9d20e8df1bc1d9df97","1","1","1","2018","4.2","59",20,0,1,0,2,1,2,0,1,0,2,0,0,1,2,0,1,4,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","20756cfc96f26da7fd72dfb0ce9f2ff6","1","1","1","2016","6.42","48",16,0,0,0,1,1,1,1,1,2,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","2116133bd5624cc6c5687e830acd0de7","1","1","1","2015","5.75","43",36,0,0,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"62","21caebfec5c7ced2cfb7d174e9b281fd","0","1","1","2017","7.66","56",37,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
