"EVADIDO","NOTA_MEDIA","SIF043","SIF073","NCS005","SIF027","SIF006","TOT_REPROVACOES","SIF060","SIF009","SIF033","SIF029","BOLSISTA","SIF011","SIF058","NCS012","SIF002","SIF063","SIF047","SIF064","TOT_REPROV_NOTA_FREQ","TOT_MAT_CURSADAS","TOT_APROVACOES"
0,7.9,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
1,7,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,12,12
1,7.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,5
1,7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,11,11
0,6.8,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
0,8.1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
1,3.7,0,0,0,0,0,10,0,2,0,0,1,0,0,0,1,2,0,1,1,16,6
1,5.7,0,0,0,0,1,4,0,2,0,0,1,0,0,1,1,0,0,1,0,12,8
1,4.2,0,0,0,0,1,11,0,2,0,0,1,0,0,1,1,2,0,1,0,18,7
0,5.8,1,0,0,1,1,5,1,0,1,1,1,1,1,0,1,1,1,5,0,49,44
1,6.3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,6,5
0,6.7,1,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,48,46
0,5.7,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,4,2
1,3.5,0,0,0,0,1,14,0,2,0,0,1,0,0,1,1,2,0,2,3,23,9
1,6.1,0,0,0,0,1,1,0,2,0,0,1,0,0,1,1,0,0,1,0,12,11
0,8.2,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,4.7,1,0,0,2,1,18,2,1,2,1,0,1,1,1,1,1,4,1,2,47,29
1,4.6,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,6,4
0,5.7,1,0,0,5,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,56,43
0,5,1,0,0,2,1,15,3,1,2,2,1,2,1,1,1,1,2,1,1,48,33
0,6.5,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,29,28
0,6.7,1,0,0,1,1,4,1,1,1,1,1,1,5,1,1,1,0,1,1,48,44
1,1.4,0,4,0,0,0,5,0,4,0,0,1,0,0,0,0,0,0,4,5,5,0
0,6,1,0,0,2,1,4,0,1,0,1,1,1,0,1,1,1,0,1,1,35,31
0,7.2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
1,6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,5
0,4.1,1,0,0,1,1,24,2,2,2,1,1,2,1,2,1,1,2,1,0,48,24
0,7.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,6.4,1,0,0,1,1,2,0,1,0,1,1,1,1,1,1,1,0,1,0,36,34
0,6.4,1,0,0,1,1,4,1,1,2,1,1,1,1,1,1,1,2,1,0,60,56
0,8.6,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
0,5.2,0,0,1,1,0,7,0,2,0,1,1,0,0,0,1,2,0,1,0,22,15
1,6.5,0,0,0,0,1,3,0,2,0,0,0,0,0,1,1,1,0,1,0,18,15
0,8.2,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
1,3.7,0,0,1,0,0,10,0,2,0,0,1,0,0,0,1,1,0,2,0,17,7
0,7.3,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
1,5.2,0,0,1,0,0,5,0,1,0,0,1,0,0,0,1,1,0,1,2,17,12
1,6.5,0,0,0,0,1,2,0,2,0,0,1,0,0,1,1,0,0,1,0,12,10
0,5.6,1,0,0,2,1,9,0,1,0,2,1,1,1,1,1,1,0,1,0,36,27
0,6.9,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,0,10,9
1,3.2,0,0,1,0,0,4,0,2,0,0,1,0,0,0,0,0,0,2,0,6,2
1,7.4,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
1,4.1,0,0,0,2,1,11,0,1,0,4,1,0,0,2,1,1,0,1,3,23,12
0,7.8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,8.7,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
1,5.4,0,0,0,1,1,6,0,2,0,1,1,1,0,0,1,1,0,2,0,28,22
1,5.7,0,0,0,2,1,7,0,1,0,1,1,2,0,1,1,1,0,1,0,29,22
1,5,0,0,0,0,1,10,0,2,0,3,1,0,0,2,1,1,0,2,0,21,11
0,5.1,1,0,0,1,1,13,1,1,2,2,1,2,1,1,1,1,2,1,1,48,35
0,8.6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,7.5,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,45,45
0,9.2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
1,3.9,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,0,0,0,6,2
0,7.7,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,6.6,1,0,0,1,1,1,0,1,0,1,0,1,1,5,1,1,0,1,0,37,36
1,8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,17,17
0,7.6,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
0,6.2,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,10,9
0,8.1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
1,5.6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,6,5
1,4.9,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,5,2
0,8.4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,5.9,1,0,0,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,0,48,45
0,6.6,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,49,48
0,7.2,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
0,6.8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,3.9,1,0,0,2,1,32,2,2,2,1,1,2,5,2,2,1,0,1,1,48,16
0,5.8,1,0,0,1,1,3,1,1,2,1,1,1,1,0,0,1,1,0,0,40,37
0,7.7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
1,4,0,0,0,0,0,4,0,0,0,0,1,0,0,2,2,0,0,0,0,6,2
0,7.1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,36,36
1,0,0,0,0,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0,5,5,0
0,8,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
1,4.5,0,0,0,0,1,5,0,2,0,0,1,0,0,2,1,0,0,2,0,12,7
0,7.7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,7.5,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
1,6.9,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,42,42
0,7.7,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
